ID,label,description
Q483286,Apink,südkoreanische Girlgroup
Q315118,Marton Csokas,neuseeländischer Schauspieler
Q79743,Florence,Stadt im US-Bundesstaat Alabama
Q719348,Joe Weider,US-amerikanischer Sportfunktionär und Verleger
Q529750,Bianca Halstead,US-amerikanische Punk-Musikerin
Q84455,Ödön von Horváth,österreichischer Schriftsteller
Q485089,Sŏn U-hui,südkoreanischer Schriftsteller
Q817656,Benjamin Prüfer,deutscher Journalist und Autor
Q108954,Lucia Puttrich,"deutsche Politikerin, MdB"
Q570511,Efim Jourist,"ukrainischer Komponist, Akkordeonist und Bajan-Spieler"
Q287309,Kate Pierson,US-amerikanische Musikerin und Sängerin
Q436876,Wera Fjodorowna Komissarschewskaja,russische Theaterschauspielerin
Q776223,Universität Montpellier,Universität in Frankreich
Q1154267,DJ Sneak,puerto-ricanischer House-DJ
Q624661,Electronic,englische Band
Q253541,Ioan Mang,rumänischer Wissenschaftler und Politiker
Q65042,Max Halbe,deutscher Schriftsteller
Q1485461,Pacific Southwest Airlines,amerikanische Fluggesellschaft
Q12543,Département Hauts-de-Seine,französisches Département
Q4906725,Thorolf Beyer Mowinckel,norwegischer Politiker
Q87931,Franz Antel,"österreichischer Filmregisseur, Produzent und Autor"
Q108679,Ruda Śląska,Stadt in Polen
Q2331628,The Art Newspaper,online und print Medium
Q367244,Felon,Film
Q312294,Christopher Judge,US-amerikanischer Schauspieler
Q114482,Bruno Adler,deutscher Literaturwissenschaftler
Q124391,Karl-Heinz Kreienbaum,deutscher Schauspieler und Autor
Q7981,Lluís Companys i Jover,katalanischer Regierungspräsident und Führer der Esquerra Republicana de Catalunya
Q57465,Kurt Schumacher,"deutscher Politiker (SPD), MdR, MdB"
Q122123,Sibyl Moholy-Nagy,"US-amerikanisch-deutsche Dramaturgin, Schauspielerin, Architektur- und Kunsthistorikerin"
Q964658,Outlaw-Bewegung,Musikgenre
Q1772432,Jesse Cook,kanadische Gitarrist
Q448831,Doktor Ahoi!,Film von Ralph Thomas (1955)
Q1032,Niger,Staat in Westafrika
Q277551,Panic! at the Disco,US-amerikanische Band
Q286566,Émile Vuillermoz,französischer Film- und Musikkritiker und Komponist
Q59739,Erich Koch-Weser,"deutscher Politiker (DDP), MdBB, MdR"
Q6231,Cremona,italienische Gemeinde
Q110463,Rudolf Sandner,"deutscher Politiker (NSDAP), MdR"
Q1151944,Mary-Kate Olsen,US-amerikanische Schauspielerin und Unternehmerin
Q262332,Bonnie Somerville,US-amerikanische Schauspielerin und Sängerin
Q92091,Rudolf Hildebrand,deutscher Germanist
Q1065881,Charles Remington,US-amerikanischer Entomologe
Q2066131,Sportler,"Person, die regelmäßig eine oder mehrere Sportarten betreibt"
Q161733,Kriminologie,Erkenntnisgewinn über die Ursachen und Erscheinungsformen von Kriminalität
Q1483562,Reinhard Fißler,deutscher Musiker
Q191850,Tommaso Campanella,"italienischer Philosoph, Dominikaner, Theologe, Dichter und Universalgelehrter"
Q1077405,Chris Kenner,US-amerikanischer Songwriter und Sänger
Q106855,Horst Rieck,deutscher Journalist
Q1211031,Philippe Bianconi,französischer Pianist
Q185490,Hereafter – Das Leben danach,Film von Clint Eastwood (2010)
Q3191061,Jérôme Seydoux,französischer Filmproduzent
Q719603,Lyndall Urwick,"britischer Unternehmer, Wirtschaftswissenschaftler und Unternehmensberater"
Q881061,George Clement Perkins,US-amerikanischer Politiker
Q275343,Tara Subkoff,US-amerikanische Schauspielerin und Modedesignerin
Q110870,Rudolf Herrnstadt,"deutscher Journalist und Politiker (KPD, SED), MdV"
Q122364,Massari,kanadischer R&B-Sänger
Q325161,Filippo Zappata,italienischer Luftfahrtpionier
Q1205,Thüringen,Bundesland der Bundesrepublik Deutschland
Q95026,Shirley MacLaine,"US-amerikanische Filmschauspielerin, Tänzerin und Schriftstellerin"
Q322250,Tom Constanten,US-amerikanischer Musiker
Q537012,Anne Marguerite Petit Du Noyer,Journalistin
Q315243,Pierre Richard,"Französischer Schauspieler, Filmregisseur und Drehbuchautor"
Q66068,Karl Koller,deutscher General der Flieger im Dritten Reich
Q230268,Jane Krakowski,US-amerikanische Schauspielerin
Q111536,William Julius Wilson,US-amerikanischer Soziologe
Q104860,Gerd Briese,"deutscher Schauspieler, Regisseur, Intendant und Drehbuchautor"
Q69181,Carl Friedrich von Siemens,"deutscher Industrieller und Politiker (DDP), MdR"
Q16017,Zweibrücken,"kreisfreie Stadt in Rheinland-Pfalz, Deutschland"
Q103977,Jacob Sonderling,deutscher und US-amerikanischer Rabbiner
Q76558,Siegbert Tarrasch,deutscher Schachspieler
Q115758,Xavier Perrot,Autorennfahrer
