Subject,Predicate,Object
Leonhard Euler,gesprochene oder publizierte Sprachen,Deutsch
Carl Djerassi,Todesursache,Krebs
Kolumbien,Mitglied von,Internationale Finanz-Corporation
Alexei Nikolajewitsch Tolstoi,gesprochene oder publizierte Sprachen,Russisch
Niederlande,Mitglied von,Schengen-Raum
Henry Rollins,Tätigkeit,Menschenrechtler
Richard Wagner,Tätigkeit,Bühnenregisseur
Jaden Smith,Tätigkeit,Schauspieler
La Toya Jackson,Geschwister,Jackie Jackson
John Cameron Mitchell,Tätigkeit,Fernsehschauspieler
Julian Klaczko,Tätigkeit,Historiker
Enrique Iglesias,gesprochene oder publizierte Sprachen,Spanisch
Republik China,diplomatische Beziehung,Republik Kongo
Leonhard Euler,Tätigkeit,Astronom
Richard Harris,Tätigkeit,Singer-Songwriter
Adam Ant,Tätigkeit,Bühnenschauspieler
Weimarer Republik,Kontinent,Europa
James Belushi,Tätigkeit,Komiker
Louis Armstrong,Bevölkerungsgruppe,Afroamerikaner
Dino Buzzati,Tätigkeit,Journalist
Oprah Winfrey,Land der Staatsangehörigkeit,Vereinigte Staaten
Woody Allen,Tätigkeit,Jazzmusiker
Dominikanische Republik,Mitglied von,Internationale Fernmeldeunion
Wilhelm von Humboldt,Tätigkeit,Lehrer
Alfred Einstein,Arbeitgeber,Columbia University
Rick Wakeman,Tätigkeit,Songschreiber
Heinrich Hertz,besuchte Bildungseinrichtung,Humboldt-Universität zu Berlin
Weißrussland,diplomatische Beziehung,Tschechien
Richard Marx,Geburtsort,Chicago
Rabindranath Thakur,gesprochene oder publizierte Sprachen,Englisch
Zentralafrikanische Republik,diplomatische Beziehung,Sudan
Vereinigte Staaten,diplomatische Beziehung,Lettland
Wilhelm Grimm,Tätigkeit,Bibliothekar
Carlos Fuentes,Tätigkeit,Schriftsteller
Holly Near,Tätigkeit,Fernsehschauspieler
Roy Clark,Tätigkeit,Schauspieler
Nordkorea,diplomatische Beziehung,Guinea-Bissau
Südafrika,diplomatische Beziehung,Pakistan
Uruguay,diplomatische Beziehung,Tschechien
William Dean Howells,Land der Staatsangehörigkeit,Vereinigte Staaten
Chris Martin,gesprochene oder publizierte Sprachen,Englisch
W. H. Auden,Tätigkeit,Hochschullehrer
Tinashe Kachingwe,Tätigkeit,Tänzer
Tila Tequila,Tätigkeit,Moderator
Kurt Vonnegut,Tätigkeit,Journalist
Bertrand Russell,beeinflusst von,Percy Bysshe Shelley
Bobby Scott,Tätigkeit,Pianist
Martin Buber,Land der Staatsangehörigkeit,Weimarer Republik
Tristan Tzara,Tätigkeit,Diplomat
Georgien,diplomatische Beziehung,Ghana
Henry Louis Gates,Tätigkeit,Schriftsteller
will.i.am,Tätigkeit,Filmproduzent
Äquatorialguinea,Mitglied von,Organisation pour l’harmonisation en Afrique du droit des affaires
Blaise Pascal,Tätigkeit,Physiker
George Tabori,Arbeitsgebiet,darstellende Kunst
Johann Georg Adam Forster,Tätigkeit,Botaniker
Henry Wadsworth Longfellow,gesprochene oder publizierte Sprachen,Englisch
Noam Chomsky,Tätigkeit,Linguist
Soulja Boy,Geburtsort,Chicago
J. Rodolfo Wilcock,Genre,Roman
Leonard Cohen,Plattenlabel,Columbia Records
Trey Parker,Tätigkeit,Sänger
Brian Molko,Instrument,Vokalist
John de Lancie,Tätigkeit,Musiker
William Styron,beeinflusst von,James Joyce
Maureen Tucker,Tätigkeit,Musiker
Milla Jovovich,Tätigkeit,Sänger
Lonnie Liston Smith,Instrument,Stimme
Nigeria,Mitglied von,Internationale Bank für Wiederaufbau und Entwicklung
Benedetto Croce,Land der Staatsangehörigkeit,Italien
Volksrepublik China,diplomatische Beziehung,Indonesien
Mike Myers,Tätigkeit,Filmregisseur
Giorgio Gaber,gesprochene oder publizierte Sprachen,Italienisch
John Muir,Tätigkeit,
"John William Strutt, 3. Baron Rayleigh",Mitglied von,Bayerische Akademie der Wissenschaften
Schweden,diplomatische Beziehung,Australien
Penny Marshall,gesprochene oder publizierte Sprachen,Englisch
Ukraine,diplomatische Beziehung,Aserbaidschan
Slowenien,diplomatische Beziehung,Nordmazedonien
Martin Buber,gesprochene oder publizierte Sprachen,Deutsch
Montenegro,diplomatische Beziehung,Kosovo
Ice Cube,Tätigkeit,Schauspieler
Académie française,Amtssprache,Französisch
Bulgarien,diplomatische Beziehung,Mongolei
Alexei Wladimirowitsch Worobjow,Land der Staatsangehörigkeit,Russland
Südkorea,diplomatische Beziehung,Indonesien
Vereinigtes Königreich,diplomatische Beziehung,Bahrain
Michail Alexandrowitsch Scholochow,Tätigkeit,Schriftsteller
Isaac Hayes,Tätigkeit,Sprecher
Benoît Mandelbrot,Mitglied von,National Academy of Sciences
Little Richard,Genre,Rhythm and Blues
Nauru,Amtssprache,Englisch
Manfred Eigen,Mitglied von,American Academy of Arts and Sciences
Thomas Young,Tätigkeit,Anthropologe
Kanada,diplomatische Beziehung,Grenada
La Toya Jackson,Tätigkeit,Musiker
Johann Georg Adam Forster,Tätigkeit,Autobiograf
Saul Bellow,beeinflusst von,Joseph Conrad
Italien,Mitglied von,Europäische Zahlungsunion
Österreich,diplomatische Beziehung,Deutschland
Andorra,diplomatische Beziehung,Europäische Union
Marokko,Mitglied von,UNESCO
Fritz Haber,Todesursache,Herzinfarkt
Ben Stiller,Tätigkeit,Drehbuchautor
Nicaragua,Kontinent,Nordamerika
Bangladesch,Mitglied von,African Union/United Nations Hybrid Operation in Darfur
Laos,diplomatische Beziehung,Vereinigte Staaten
Samuel Johnson,Tätigkeit,Schriftsteller
Ava Gardner,Tätigkeit,Model
Malaysia,diplomatische Beziehung,Namibia
Dennis Gábor,Mitglied von,Royal Society
Nick Jonas,Lebenspartner/-in,Miley Cyrus
Kanada,diplomatische Beziehung,Griechenland
Larry David,Tätigkeit,Fernsehschauspieler
Bhimrao Ramji Ambedkar,Tätigkeit,Historiker
Frankreich,Mitglied von,Gruppe der zwanzig wichtigsten Industrie- und Schwellenländer
Nicaragua,Mitglied von,Internationale Fernmeldeunion
Volksrepublik China,diplomatische Beziehung,Litauen
Robert Oppenheimer,Arbeitgeber,University of Cambridge
Faith Evans,Genre,Contemporary R&B
Tom Wolfe,beeinflusst von,Charles Dickens
Aram Chatschaturjan,Genre,klassische Musik
Kroatien,diplomatische Beziehung,Türkei
Vereinigte Arabische Emirate,diplomatische Beziehung,Saudi-Arabien
Ulrich von Wilamowitz-Moellendorff,Tätigkeit,Politiker
Senegal,diplomatische Beziehung,Deutschland
John Stuart Mill,Bevölkerungsgruppe,Engländer
Libyen,diplomatische Beziehung,Vereinigte Staaten
Burkina Faso,Mitglied von,Welthandelsorganisation
Weniamin Borissowitsch Smechow,Tätigkeit,Schauspieler
Costa Rica,diplomatische Beziehung,Uruguay
Brigitte Bardot,Tätigkeit,Autobiograf
Felix Mendelssohn Bartholdy,Bevölkerungsgruppe,Aschkenasim
Woody Guthrie,Instrument,Mundharmonika
Madonna,Arbeitsgebiet,Musikkomposition
Peter Debye,Arbeitgeber,Cornell University
Mexiko,diplomatische Beziehung,Niederlande
Jada Pinkett Smith,Genre,Rockmusik
Luis Alberto Spinetta,Genre,Psychedelic Rock
Big Sean,Genre,Hip-Hop
Massimo Bontempelli,Sterbeort,Rom
David Foster,Tätigkeit,Sänger
Carole King,Tätigkeit,Komponist
Argentinien,diplomatische Beziehung,Italien
Libyen,Mitglied von,Organisation für das Verbot chemischer Waffen
Missy Elliott,Tätigkeit,Filmschauspieler
Russland,diplomatische Beziehung,Heiliger Stuhl
Frankreich,diplomatische Beziehung,Republik Kongo
Kurt Cobain,Tätigkeit,Tagebuchschreiber
Vereinigtes Königreich,diplomatische Beziehung,Mexiko
Babyface,Plattenlabel,Island Records
Vereinigte Arabische Emirate,Mitglied von,Internationale Finanz-Corporation
Nordkorea,diplomatische Beziehung,Volksrepublik China
Zentralafrikanische Republik,Mitglied von,Welthandelsorganisation
Chile,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Günter Grass,Tätigkeit,Essayist
Christoph Wilhelm Hufeland,Mitglied von,Russische Akademie der Wissenschaften
Irland,Amtssprache,Englisch
Kirgisistan,Mitglied von,Organisation für das Verbot chemischer Waffen
Malediven,Mitglied von,Internationale Fernmeldeunion
Henry Kissinger,Tätigkeit,Diplomat
André Malraux,Tätigkeit,Journalist
Südkorea,diplomatische Beziehung,Ägypten
Jeschajahu Leibowitz,Tätigkeit,Chemiker
Rainer Werner Fassbinder,Sterbeort,München
Chris Martin,Instrument,Stimme
Pakistan,diplomatische Beziehung,Sudan
Schweiz,Mitglied von,Organisation für das Verbot chemischer Waffen
Rob Zombie,Tätigkeit,Singer-Songwriter
Busta Rhymes,Plattenlabel,Republic Records
David Foster,Genre,klassische Musik
Tamer Hosny,Tätigkeit,Pianist
Margaret Atwood,beeinflusst von,Fjodor Michailowitsch Dostojewski
Jewgeni Iwanowitsch Samjatin,gesprochene oder publizierte Sprachen,Russisch
Miley Cyrus,beeinflusst von,Madonna
Volksrepublik China,diplomatische Beziehung,Äquatorialguinea
Ilja Grigorjewitsch Ehrenburg,Tätigkeit,Romancier
Justin Timberlake,Genre,Popmusik
Jorge Amado,beeinflusst von,Joaquim Maria Machado de Assis
Syd Barrett,Instrument,Stimme
Billy Crystal,Instrument,Stimme
Frankreich,diplomatische Beziehung,Ruanda
Ungarn,diplomatische Beziehung,Nepal
Harold Bloom,besuchte Bildungseinrichtung,Yale University
Eduard Suess,Mitglied von,Royal Society
Peter Tork,Instrument,Banjo
Charles Aznavour,Tätigkeit,Filmschauspieler
Costa Rica,Mitglied von,
Kelly Clarkson,Tätigkeit,Komponist
François-René de Chateaubriand,Tätigkeit,Essayist
Karl Mannheim,Sterbeort,London
Maxim Gorki,Tätigkeit,Schriftsteller
Republik Zypern,diplomatische Beziehung,Polen
Gerald Wilson,Sterbeort,Los Angeles
Chris Martin,Tätigkeit,Komponist
Howard Zinn,Tätigkeit,Journalist
Paraguay,Mitglied von,
Iran,Mitglied von,
Friedrich von Raumer,Tätigkeit,Historiker
Robert Oppenheimer,Bevölkerungsgruppe,Juden
Henry David Thoreau,Tätigkeit,Tagebuchschreiber
Harry Chapin,Tätigkeit,Musiker
Allen Ginsberg,Mitglied von,American Academy of Arts and Sciences
Oprah Winfrey,Tätigkeit,Fernsehproduzent
Estland,diplomatische Beziehung,Indien
Irland,Mitglied von,Australische Gruppe
Andrea Bocelli,Plattenlabel,Universal Music Group
Alexander Issajewitsch Solschenizyn,Mitglied von,Russische Akademie der Wissenschaften
Ric Ocasek,Genre,Popmusik
Jay Chou,Tätigkeit,Komponist
Interscope Records,Genre,Hip-Hop
Verka Serduchka,Instrument,Stimme
Jessica Simpson,Genre,Popmusik
Bolivien,Mitglied von,Internationale Fernmeldeunion
Liechtenstein,Kontinent,Europa
Timbaland,Genre,Alternative Rock
Österreich,diplomatische Beziehung,Russland
Deutschland,diplomatische Beziehung,Iran
Schweiz,Mitglied von,European Organisation for the Safety of Air Navigation
Michael James Lighthill,Arbeitgeber,University of Cambridge
Malta,Staat,Commonwealth of Nations
Mali,Mitglied von,Vereinte Nationen
Wang Leehom,Land der Staatsangehörigkeit,Vereinigte Staaten
Jewel,Tätigkeit,Komponist
Michael Bublé,Tätigkeit,Fernsehschauspieler
Kurt Cobain,Genre,Alternative Rock
Waleri Schotajewitsch Meladse,Land der Staatsangehörigkeit,Russland
Robert Musil,Tätigkeit,Autor
Frank Zappa,Tätigkeit,Sänger
Eugen Rosenstock-Huessy,Tätigkeit,Soziologe
Malawi,Mitglied von,Interpol
Liv Ullmann,Tätigkeit,Filmschauspieler
Südsudan,Mitglied von,UNESCO
Pakistan,diplomatische Beziehung,Europäische Union
François Guizot,Mitglied von,Königlich Niederländische Akademie der Wissenschaften
Niger,Mitglied von,Internationale Organisation der Frankophonie
Anatoli Wassiljewitsch Lunatscharski,Mitglied von,Akademie der Wissenschaften der UdSSR
Sidney Poitier,Mitglied von,American Academy of Arts and Sciences
Republik China,diplomatische Beziehung,Papua-Neuguinea
Belgien,Mitglied von,Internationale Energieagentur
Pakistan,diplomatische Beziehung,Serbien
Sri Lanka,diplomatische Beziehung,Heiliger Stuhl
Ingeborg Bachmann,Tätigkeit,Philosoph
André 3000,Bevölkerungsgruppe,Afroamerikaner
Serge Gainsbourg,Tätigkeit,Filmkomponist
Augustin-Louis Cauchy,Mitglied von,American Academy of Arts and Sciences
Fergie,Plattenlabel,RCA Records
Manfred Eigen,Mitglied von,Academia Europaea
Jean-Paul Sartre,Geburtsort,Paris
Russland,diplomatische Beziehung,Ecuador
Mary Shelley,Tätigkeit,Science-Fiction-Schriftsteller
James Hetfield,gesprochene oder publizierte Sprachen,Englisch
Weißrussland,diplomatische Beziehung,Algerien
Eswatini,diplomatische Beziehung,Europäische Union
Kasachstan,diplomatische Beziehung,Südkorea
Gene Autry,Tätigkeit,Hörfunkmoderator
Georgien,diplomatische Beziehung,Deutschland
Rabindranath Thakur,besuchte Bildungseinrichtung,University College London
Äquatorialguinea,diplomatische Beziehung,Russland
Holly Johnson,Instrument,Bassgitarre
Arthur Miller,Geburtsort,New York City
Jimmy Buffett,Instrument,Stimme
Akiko Yano,Tätigkeit,Komponist
Indien,diplomatische Beziehung,Ruanda
Norwegen,Mitglied von,Europäische Weltraumorganisation
Gabriel Marcel,beeinflusst von,Friedrich Nietzsche
Ägypten,diplomatische Beziehung,Türkei
Jaden Smith,Tätigkeit,Unternehmer
Gloria Estefan,Land der Staatsangehörigkeit,Vereinigte Staaten
Japan,diplomatische Beziehung,Südafrika
Salvador de Madariaga,besuchte Bildungseinrichtung,École polytechnique
George Harrison,Tätigkeit,Singer-Songwriter
Vietnam,diplomatische Beziehung,Dänemark
Michael Bublé,Plattenlabel,Reprise Records
Jan Rubes,Land der Staatsangehörigkeit,Tschechoslowakei
Alexander Issajewitsch Solschenizyn,Genre,Essay
Neil Young,Tätigkeit,Musikproduzent
Luxemburg,Mitglied von,OECD
Marlene Dietrich,gesprochene oder publizierte Sprachen,Deutsch
Jim Morrison,Tätigkeit,Regisseur
Südkorea,Mitglied von,African Union/United Nations Hybrid Operation in Darfur
Südkorea,Mitglied von,Australische Gruppe
Taylor Swift,Instrument,Gitarre
Semfira,Tätigkeit,Schriftsteller
Staat Palästina,diplomatische Beziehung,Republik China
Billy Joel,Tätigkeit,Pianist
Miguel de Unamuno,Tätigkeit,Essayist
Dido,Plattenlabel,Arista Records
Harry Nilsson,Genre,Rockmusik
Spanien,diplomatische Beziehung,Ungarn
Palau,Mitglied von,Organisation für das Verbot chemischer Waffen
Connie Francis,Instrument,Stimme
Carlos Fuentes,Land der Staatsangehörigkeit,Mexiko
Allen Ginsberg,Sterbeort,New York City
Georges Cuvier,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
Wang Leehom,Tätigkeit,Musikproduzent
Patti Smith,Arbeitsgebiet,darstellende Kunst
Nordkorea,diplomatische Beziehung,Namibia
Bill Haley,Tätigkeit,Komponist
Missy Elliott,Tätigkeit,Sänger
Russell Brand,Tätigkeit,Filmproduzent
Thomas Young,Mitglied von,Académie des sciences
Angola,Kontinent,Afrika
Julija Olegowna Wolkowa,Genre,Pop-Rock
Bahrain,diplomatische Beziehung,Pakistan
Sofja Wassiljewna Kowalewskaja,Todesursache,Lungenentzündung
St. Lucia,Mitglied von,Interpol
Norman Wisdom,Tätigkeit,Musiker
will.i.am,Tätigkeit,Geschäftsmann
Erika Mann,Geschwister,Klaus Mann
Kenny Rogers,Plattenlabel,Capitol Records
Tschechien,diplomatische Beziehung,Israel
Ronald Reagan,Land der Staatsangehörigkeit,Vereinigte Staaten
Peter Debye,Arbeitgeber,Georg-August-Universität Göttingen
Gottfried Wilhelm Leibniz,besuchte Bildungseinrichtung,Friedrich-Schiller-Universität Jena
Trinidad und Tobago,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Carl Friedrich von Weizsäcker,Mitglied von,Deutsche Akademie der Naturforscher Leopoldina
W. H. Auden,beeinflusst von,T. S. Eliot
Charles Dickens,Religionszugehörigkeit,Anglikanismus
Namibia,diplomatische Beziehung,Indien
Saul Bellow,beeinflusst von,Stendhal
John Dos Passos,Mitglied von,American Academy of Arts and Letters
Franz Kafka,Land der Staatsangehörigkeit,Tschechoslowakei
Cher,Arbeitsgebiet,Musikkomposition
Ägypten,diplomatische Beziehung,Syrien
Shel Silverstein,gesprochene oder publizierte Sprachen,Englisch
Marilyn Manson,Genre,Hard Rock
Madagaskar,Mitglied von,Internationales Zentrum zur Beilegung von Investitionsstreitigkeiten
Kambodscha,diplomatische Beziehung,Pakistan
Rob Zombie,Plattenlabel,Geffen Records
Gene Simmons,Land der Staatsangehörigkeit,Vereinigte Staaten
Raven-Symoné Pearman,Instrument,Stimme
John Stuart Mill,Bewegung,Atheismus
Bryan Ferry,Tätigkeit,Songschreiber
Israel,Mitglied von,UNESCO
Vereinigte Staaten,diplomatische Beziehung,Algerien
Glen Campbell,Genre,Folk-Rock
Carl Djerassi,Wohnsitz,Wien
Phil Collins,Tätigkeit,Gitarrist
Igor Strawinsky,Plattenlabel,Columbia Records
Wladimir Iljitsch Lenin,Tätigkeit,Schriftsteller
Ernst Troeltsch,Tätigkeit,Politiker
Afghanistan,Mitglied von,Internationale Fernmeldeunion
Litauen,diplomatische Beziehung,Rumänien
Vereinigte Arabische Emirate,diplomatische Beziehung,Volksrepublik China
James Franco,Arbeitgeber,New York University
Maya Angelou,Tätigkeit,Romancier
Angola,diplomatische Beziehung,Südafrika
Alberto Manguel,Tätigkeit,Bibliothekar
Bulgarien,Mitglied von,Internationale Finanz-Corporation
Maria Callas,Arbeitgeber,Juilliard School
Katerina Graham,Bevölkerungsgruppe,Afroamerikaner
Volksrepublik China,Mitglied von,Internationale Fernmeldeunion
Melanie Brown,gesprochene oder publizierte Sprachen,Englisch
Ralf Dahrendorf,Mitglied von,American Academy of Arts and Sciences
Island,Mitglied von,Europäische Zahlungsunion
Charlie Rich,Instrument,Klavier
Art Garfunkel,Plattenlabel,Atco-Records
Melissa Auf der Maur,Tätigkeit,Schauspieler
Fidschi,Mitglied von,Internationale Finanz-Corporation
