ID,label,description
Q28640,Beruf,"systematisch erlernte, dauerhaft gegen Entgelt ausgeübte spezialisierte Betätigung eines Menschen"
Q483501,Künstler,"kreativ tätige Menschen, die Kunstwerke schaffen"
Q4220920,Filmberuf,"Person, die in der Filmbranche arbeitet"
Q33999,Schauspieler,"darstellender Künstler der mit Sprache, Mimik und Gestik eine Rolle verkörpert"
Q702269,Profi,übt im Gegensatz zum Amateur eine Tätigkeit beruflich aus
Q7390,menschliche Stimme,durch die Stimmlippen eines Menschen erzeugter und durch andere Organe modulierter Schall
Q34379,Musikinstrument,"Gegenstand, der mit dem Ziel konstruiert oder verändert wurde, Musik zu erzeugen"
Q3918,Universität,Hochschule mit Promotionsrecht
Q45400320,Open-Access-Herausgeber,freier Zugang zu wissenschaftlicher Literatur und anderen Materialien im Internet
Q713200,Artist,darstellender Künstler
Q5716684,Tänzer,Beruf
Q12737077,Beschäftigung,"Etikett, das einer Person aufgrund einer Aktivität zugewiesen wird, an der sie teilnehmen"
Q205375,Erfinder,"Person, die durch eigene schöpferische Leistung eine zuvor nicht bekannte Lösung im Bereich der Technik hervorbringt"
Q189533,akademischer Grad,"zertifizierter Hochschulabschluss, vergleichende Übersicht"
Q327055,Erwerbstätiger,"Mensch, der einer Erwerbstätigkeit nachgeht"
Q81096,Ingenieur,Berufsbezeichnung für wissenschaftlich ausgebildete Fachleute auf technischem Gebiet
Q2500638,Urheber,"Verursacher, bzw. menschlicher Schöpfer eines Werks"
Q864503,Biologe,"Naturwissenschaftler, die sich mit biologischen Themen befassen"
Q350979,Zoologe,jemand der Zoologie als Wissenschaft betreibt
Q431,Zoologie,"Disziplin der Biologie, deren Forschungsgegenstand Lebewesen sind"
Q33742,natürliche Sprache,"Sprache, die natürlicherweise von Menschen gesprochen wird und nicht konstruiert ist"
Q34770,Einzelsprache,"vom Menschen verwendete Sprache, die ihren Sprechern ein vollständiges und abgeschlossenes Zeichen­system in Form von Sprachlauten oder Sprachgebärden zur Kommunikation bietet"
Q1346342,englische Sprachen,Sprachfamilie
Q951873,Ethnolekt,Sammelbegriff für sprachliche Varianten bzw. Sprechstile
Q1860,Englisch,westgermanische Sprache
Q1798603,Saiteninstrument,"Musikinstrument, das zur Tonerzeugung eine oder mehrere gespannte Saiten verwendet"
Q52954,Tasteninstrument,"Musikinstrument, bei welchem der Ton durch Anschlagen einer oder mehrerer Tasten auf einer Klaviatur indirekt erzeugt wird"
Q864380,Biograph,"Person, die Biographien schreibt"
Q1278335,Instrumentalmusiker,"Person, die ein Musikinstrument spielt"
Q177220,Sänger,"Person, die vor Publikum singt"
